ID	Date	Offer1	Offer2	OfferDM1	OfferDM2	Refusal1	Refusal2	DMI	Breed	Parityt	month	Treatment
2321	01/11/2001	118.95	45.75	0.9221	0.901	0	0	4.94769	1	2	9	1
2321	01/12/2001	122.2951613	46.73387097	0.9221	0.901	0	0	5.077888065	1	2	10	1
2321	01/01/2002	123.6725806	48.8	0.9221	0.901	0	0	5.180566774	1	2	11	1
2321	01/02/2002	129.4071429	48.8	0.9221	0.901	0	0	5.353938571	1	2	12	1
2321	01/03/2002	131.3467742	50.37419355	0.9221	0.901	0	0	5.459082258	1	2	13	1
2321	01/04/2002	134.6066667	51.85	0.9221	0.901	0	0	5.601234667	1	2	14	1
2321	01/05/2002	137.25	51.85	0.9221	0.901	0	0	5.68115	1	2	15	1
2321	01/06/2002	126.0666667	48.59666667	0.9221	0.901	0.283333333	0	4.985678333	1	3	1	1
2321	01/07/2002	118.7532258	46.93064516	0.903	0.8948	0	0	4.892711613	1	3	2	1
2321	01/08/2002	140.3	55.6625	0.903	0.8948	0	0	5.78681	1	3	3	1
2323	01/02/1999	150.8660714	58.05892857	0.9221	0.901	0	0	6.276219643	1	1	1	2
2323	01/03/1999	131.6419355	51.85	0.9221	0.901	0	0	5.511602581	1	1	2	2
2323	01/04/1999	126.7783333	49.00333333	0.9221	0.901	0	0	5.280469	1	1	3	2
2323	01/05/1999	124.7548387	48.8	0.9221	0.901	0	0	5.213286452	1	1	4	2
2323	01/06/1999	122	46.86833333	0.9221	0.901	0	0	5.072936667	1	1	5	2
2323	01/07/1999	121.2129032	45.75	0.903	0.8948	0	0	4.930896774	1	1	6	2
2323	01/08/1999	118.95	45.75	0.903	0.8948	0	0	4.8639	1	1	7	2
2323	01/09/1999	117.6283333	45.75	0.903	0.8948	0	0	4.82477	1	1	8	2
2323	01/10/1999	118.6548387	45.75	0.9221	0.901	0	0	4.938766452	1	1	9	2
2323	01/11/1999	118.035	46.055	0.9221	0.901	0	0	4.929037	1	1	10	2
2323	01/12/1999	122	46.73387097	0.9221	0.901	0	0	5.068964516	1	1	11	2
2323	01/01/2000	122	48.11129032	0.9221	0.901	0	0	5.109654839	1	1	12	2
2323	01/02/2000	125.1551724	47.74827586	0.9221	0.901	0	0	5.19432069	1	1	13	2
2323	01/03/2000	123.3774194	47.12741935	0.9221	0.901	0	0	5.122233548	1	1	14	2
2323	01/04/2000	122.1016667	47.275	0.9221	0.901	0.05	0	5.041918667	1	1	15	2
2323	01/05/2000	124.6564516	48.8	0.9221	0.901	0	0	5.210311935	1	1	16	2
2323	01/06/2000	126.0666667	48.8	0.9221	0.901	0	0	5.252946667	1	1	17	2
2323	01/07/2000	128.9854839	48.8	0.903	0.8948	0	0	5.250496129	1	1	18	2
2323	01/08/2000	135.0854839	51.45645161	0.903	0.8948	0	0	5.509030323	1	1	19	2
2323	01/09/2000	140.4016667	54.79833333	0.903	0.8948	0	0	5.764467333	1	1	20	2
2323	01/10/2000	144.6290323	54.9	0.9221	0.901	0	0	5.99433871	1	1	21	2
2323	01/11/2000	141.215	53.985	0.9221	0.901	0	0	5.864093	1	2	1	2
2323	01/12/2000	121.1145161	45.75	0.9221	0.901	0	0	5.013129355	1	2	2	2
2323	01/01/2001	120.3274194	45.75	0.9221	0.901	0	0	4.989333226	1	2	3	2
2323	01/02/2001	120.2571429	45.75	0.9221	0.901	0.014285714	0	4.974035714	1	2	4	2
2323	01/03/2001	120.5241935	45.75	0.9221	0.901	0	0	4.995282258	1	2	5	2
2323	01/04/2001	118.95	45.75	0.9221	0.901	0	0	4.94769	1	2	6	2
2323	01/05/2001	118.95	45.75	0.9221	0.901	0	0	4.94769	1	2	7	2
2323	01/06/2001	121.2883333	45.75	0.9221	0.901	0	0	5.018384333	1	2	8	2
2323	01/07/2001	120.9177419	45.75	0.903	0.8948	0	0	4.922158065	1	2	9	2
2323	01/08/2001	123.0822581	47.12741935	0.903	0.8948	0	0	5.026652258	1	2	10	2
2323	01/09/2001	125.2533333	48.8	0.903	0.8948	0	0	5.14	1	2	11	2
2323	01/10/2001	124.8532258	48.8	0.9221	0.901	0	0	5.216260968	1	2	12	2
2323	01/11/2001	127.8966667	48.8	0.9221	0.901	0	0	5.308272667	1	2	13	2
2323	01/12/2001	131.5435484	50.17741935	0.9221	0.901	0	0	5.459218387	1	2	14	2
2323	01/01/2002	130.7564516	48.8	0.9221	0.901	0	0	5.394731935	1	2	15	2
2323	01/02/2002	132.4571429	50.21607143	0.9221	0.901	0	0	5.487980714	1	2	16	2
2323	01/03/2002	140.5951613	54.8016129	0.9221	0.901	0	0	5.869477097	1	2	17	2
2323	01/04/2002	147.62	57.13666667	0.9221	0.901	0	0	6.150837333	1	2	18	2
2324	01/07/1999	126.7225806	49.88225806	0.903	0.8948	0	0	5.215250323	1	1	1	1
2324	01/08/1999	102.6177419	39.65	0.903	0.8948	0	0	4.201398065	1	1	2	1
2324	01/09/1999	99.32833333	39.65	0.903	0.8948	0	0	4.10401	1	1	3	1
2324	01/10/1999	94.66730769	36.71730769	0.9221	0.901	0.019230769	0.034615385	3.897800769	1	1	4	1
2324	01/08/2000	131.15	51.85	0.903	0.8948	0	0	5.40406	1	1	5	1
2324	01/09/2000	134.0983333	51.85	0.903	0.8948	0	0	5.49135	1	1	6	1
2324	01/10/2000	136.3645161	52.24354839	0.9221	0.901	0	0	5.666005161	1	1	7	1
2324	01/11/2000	138.8766667	52.86666667	0.9221	0.901	0	0	5.760362	1	1	8	1
2324	01/12/2000	141.1854839	54.11290323	0.9221	0.901	0	0	5.866979032	1	1	9	1
