ID	Parity	Treatment	month	Offer1	Offer2
2364	3	3	5	140.1032258	54.21129032
2364	3	3	6	174.2857143	66.66428571
2364	3	3	7	188.116129	73.39677419
2364	3	3	8	193.37	74.42
2364	3	3	9	187.3290323	72.51129032
2364	3	3	10	185.3383333	72.48833333
2364	3	3	11	191.166129	73.2
2364	3	3	12	194.81875	75.86875
2378	1	2	1	169.3241935	65.72258065
2378	1	2	2	135.9283333	51.95166667
2378	1	2	3	129.6741935	50.07903226
2378	1	2	4	129.2183333	48.8
2378	1	2	5	126.7225806	48.8
2378	1	2	6	125.6403226	48.8
2378	1	2	7	122.305	48.8
2378	1	2	8	124.9516129	48.8
2378	1	2	9	125.355	48.8
2378	1	2	10	128.1	48.8
2378	1	2	11	127.116129	48.8
2378	1	2	12	126.6275862	48.8
2378	1	2	13	127.8048387	48.8
2378	1	2	14	128.1	48.8
2378	1	2	15	128.1	48.8
2378	1	2	16	130.845	50.83333333
2378	1	2	17	134.2	51.85
2378	1	2	18	136.7580645	53.12903226
2378	1	2	19	141.9266667	55.00166667
2378	1	2	20	148.5645161	57.95
2378	2	2	1	152.5	57.95
2378	2	2	2	136.4629032	51.45645161
2378	2	2	3	125.5419355	48.8
2378	2	2	4	126.3571429	48.8
2378	2	2	5	128.0016129	48.8
2378	2	2	6	125.05	48.8
2378	2	2	7	124.4596774	48.8
2378	2	2	8	122.8133333	48.8
2378	2	2	9	125.05	48.8
2378	2	2	10	125.05	48.8
2378	2	2	11	128.3033333	49.00333333
2378	2	2	12	130.2645161	50.47258065
2378	2	2	13	134.2	51.85
2378	2	2	14	139.9064516	54.21129032
2378	2	2	15	147.2854839	57.55645161
2378	2	2	16	152.2821429	59.36607143
2378	2	2	17	136.4629032	53.12903226
2378	3	2	1	114.07	43.92
2378	3	2	2	110.783871	42.7
2378	3	2	3	110.715	42.7
2378	3	2	4	111.4725806	42.7
2378	3	2	5	112.85	42.7
2379	1	3	1	219.6	85.4
2379	1	3	2	203.9564516	79.59516129
2379	1	3	3	186.9354839	73.2
2379	1	3	4	185.8321429	72.4375
2379	1	3	5	181.6225806	70.15
2379	1	3	6	181.3733333	70.04833333
2379	1	3	7	174.833871	67.1
2379	1	3	8	170.8	67.1
2379	1	3	9	172.1774194	67.1
2379	1	3	10	171.8822581	67.1
2379	1	3	11	177.9166667	68.42166667
2379	1	3	12	184.2790323	70.15
2379	1	3	13	189.5066667	73.40333333
2379	1	3	14	196.6758065	75.95483871
2379	2	3	1	204.35	79.3
2379	2	3	2	182.8948276	72.77931034
2379	2	3	3	181.0322581	70.15
2379	2	3	4	182.8983333	70.15
2379	2	3	5	178.8677419	68.67419355
2379	2	3	6	182.2883333	70.15
2379	2	3	7	176.8016129	69.26451613
2379	2	3	8	176.5064516	67.1
2379	2	3	9	179.8483333	68.625
2379	2	3	10	182.1145161	70.54354839
2379	2	3	11	186.05	71.77666667
2379	2	3	12	192.3467742	74.08548387
2379	2	3	13	203.1693548	77.43064516
2379	2	3	14	180.1678571	70.36785714
2379	3	3	1	131.5435484	50.57096774
2379	3	3	2	123.0166667	48.495
2379	3	3	3	120.1306452	45.35645161
2379	3	3	4	119.865	45.85166667
2379	3	3	5	126.4274194	48.8
2379	3	3	6	154.6645161	59.91774194
2379	3	3	7	148.23	57.95
2379	3	3	8	152.5	57.95
2379	3	3	9	152.5	57.95
2379	3	3	10	154.8612903	60.31129032
2379	3	3	11	160.8629032	61
2379	3	3	12	180.1678571	69.60535714
2379	3	3	13	204.5467742	79.3983871
2379	3	3	14	216.3466667	84.18
2379	3	3	15	220.583871	84.02258065
2379	3	3	16	225.7	87.73833333
2379	3	3	17	219.7967742	84.71129032
2379	4	3	1	202.44375	79.68125
2401	1	2	1	192.5435484	74.18387097
2401	1	2	2	166.1233333	64.66
2401	1	2	3	158.8951613	61
2401	1	2	4	155.55	61
2401	1	2	5	154.1266667	59.57666667
2401	1	2	6	159.8790323	61
2401	1	2	7	160.8366667	62.83
2401	1	2	8	167.4548387	64.73870968
2401	1	2	9	171.783871	67.1
2401	1	2	10	173.85	67.1
2401	2	2	1	164.5032258	63.36129032
2401	2	2	2	154.1266667	59.475
2401	2	2	3	152.5	57.95
2401	2	2	4	152.5	57.95
2401	2	2	5	151.6145161	57.95
2401	2	2	6	154.7629032	60.60645161
2401	2	2	7	155.7533333	61
2401	2	2	8	160.666129	61.39354839
2401	2	2	9	164.7	64.05
2401	2	2	10	166.9629032	64.05
2401	2	2	11	172.7677419	67.59193548
2401	3	2	1	179.0785714	69.06071429
2401	3	2	2	174.2435484	67.1983871
2401	3	2	3	147.2133333	56.22166667
2401	3	2	4	171.9806452	67.1
2401	3	2	5	150.67	57.84833333
2401	3	2	6	141.6774194	54.21129032
2401	3	2	7	143.6451613	55.19516129
2401	3	2	8	148.0266667	56.52666667
2401	3	2	9	149.45	57.95
2401	3	2	10	151.585	57.95
2401	3	2	11	152.5	57.95
2401	3	2	12	157.7145161	60.60645161
2401	3	2	13	175.8107143	68.18928571
2401	3	2	14	202.7758065	77.72580645
2401	3	2	15	207.4	79.3
2401	3	2	16	206.7112903	79.3
2401	4	2	1	185.6433333	72.285
2401	4	2	2	178.5725806	68.77258065
2401	4	2	3	177.28125	70.15
2402	1	2	1	188.3375	73.2
2402	1	2	2	161.4532258	62.86935484
2402	1	2	3	156.9733333	60.89833333
2402	1	2	4	151.2209677	57.95
2402	1	2	5	148.6366667	57.95
2402	1	2	6	148.5645161	57.95
2402	1	2	7	148.3677419	57.95
2402	1	2	8	146.4	57.95
2402	1	2	9	148.1709677	56.57258065
2402	1	2	10	152.5	57.95
2402	1	2	11	154.566129	60.01612903
2402	1	2	12	159.8790323	61.98387097
2402	1	2	13	166.2775862	64.05
2402	1	2	14	173.2596774	66.80483871
2402	2	2	1	160.125	61.305
2402	2	2	2	152.1064516	57.95
2402	2	2	3	148.7383333	57.95
2402	2	2	4	147.7774194	57.06451613
2402	2	2	5	151.7129032	57.55645161
2402	2	2	6	149.45	57.95
2402	2	2	7	146.7935484	56.57258065
2402	2	2	8	147.4166667	57.34
2402	2	2	9	147.2854839	57.16290323
2402	2	2	10	149.45	57.95
2402	2	2	11	154.8964286	59.25714286
2402	2	2	12	162.9290323	62.47580645
2402	2	2	13	165.005	64.05
2402	2	2	14	168.3403226	64.64032258
2402	2	2	15	144.6716667	56.12
2402	3	2	1	124.5580645	47.71774194
2402	3	2	2	119.2451613	45.75
2402	3	2	3	118.5433333	45.75
2402	3	2	4	117.0806452	45.75
2402	3	2	5	132.5733333	50.63
2402	3	2	6	144.4322581	56.27741935
2402	3	2	7	142.9564516	54.9
2402	3	2	8	154.6785714	59.14821429
2402	3	2	9	170.7016129	67.0016129
2402	3	2	10	171.2066667	67.1
2402	3	2	11	169.7177419	65.03387097
2402	3	2	12	168.665	64.965
2402	3	2	13	170.6032258	65.72258065
2402	3	2	14	173.85	67.1
2409	1	1	1	119.0483871	45.94677419
2409	1	1	2	105.3266667	40.76833333
2409	1	1	3	105.3725806	39.65
2409	1	1	4	104.2903226	39.65
2409	1	1	5	103.7	39.65
2409	1	1	6	105.0774194	39.65
2409	1	1	7	105.835	41.48
2409	1	1	8	108.4225806	42.7
2409	1	1	9	109.8	42.7
2409	1	1	10	108.7482759	41.64827586
2409	1	1	11	109.5048387	42.40483871
2409	1	1	12	109.8	42.7
2409	1	1	13	108.3241935	42.7
2409	1	1	14	109.0883333	42.7
2409	1	1	15	109.0129032	42.7
2409	1	1	16	115.1129032	45.35645161
2409	1	1	17	117.5266667	45.75
2409	1	1	18	122.3935484	46.14354839
2409	1	1	19	125.66	48.8
2409	1	1	20	128.1	48.8
2409	2	1	1	117.5725806	45.06129032
2409	2	1	2	109.8	42.7
2409	2	1	3	108.3241935	42.7
2409	2	1	4	107.055	42.7
2409	2	1	5	107.9306452	42.7
2409	2	1	6	109.0883333	42.7
2409	2	1	7	110.8822581	42.7
2409	2	1	8	111.4725806	42.7
2409	2	1	9	111.4266667	43.005
2409	2	1	10	112.85	42.7
2409	2	1	11	113.5616667	43.41166667
2409	2	1	12	116.883871	45.75
2409	2	1	13	122.8854839	47.02903226
2409	2	1	14	127.8821429	50.21607143
2409	2	1	15	122.8854839	49.98064516
2409	3	1	1	116.7133333	45.34333333
2409	3	1	2	127.0177419	49.19354839
2409	3	1	3	119.56	46.97
2409	3	1	4	115.9983871	45.06129032
2409	3	1	5	155.55	61
2410	1	3	1	222.65	85.4
2410	1	3	2	197.9232143	76.57678571
2410	1	3	3	189.1	73.79032258
2410	1	3	4	181.78	70.35333333
2410	1	3	5	178.6709677	68.87096774
2410	1	3	6	179.4416667	69.64166667
2410	1	3	7	178.4741935	67.88709677
2410	1	3	8	179.1629032	68.77258065
2410	1	3	9	179.95	70.15
